id	lat	lng
142	28.20000000	115.80000000
143	26.40000000	112.85000000
145	24.78333333	105.35000000
149	28.96666666	117.13333333
150	28.10000000	114.06666666
151	27.38333333	114.61666666
153	26.73333333	106.36666666
154	32.46666666	105.85000000
183	34.61666666	103.51666666
185	25.78333333	104.63333333
188	34.61666666	103.51666666
191	34.08333333	103.23333333
192	34.88333333	104.46666666
204	25.68333333	104.25000000
206	26.21666666	104.10000000
209	24.78333333	105.35000000
210	34.88333333	104.46666666
212	34.88333333	104.46666666
213	34.88333333	104.46666666
215	34.78333333	104.16666666
260	30.30000000	108.93333333
272	30.20000000	115.10000000
279	30.30000000	108.93333333
282	25.75000000	106.05000000
284	33.43333333	109.16666666
304	31.35000000	119.81666666
1475	25.76666666	113.03333333
1696	24.83333333	116.90000000
1697	24.73333333	116.71666666
2008	32.18333333	119.45000000
2013	32.03333333	119.03333333
2163	32.07027777	119.17138888
2167	31.95000000	118.85000000
2168	31.56666666	120.30000000
2171	32.03116666	119.42900000
2178	32.05000000	118.76666666
2181	33.03333333	120.65000000
2185	34.59711388	116.85132222
2188	34.77882222	116.97943888
2194	31.33333333	110.73333333
2202	30.46666666	111.20000000
2208	29.85000000	106.40000000
2214	30.60000000	109.70000000
2363	32.98333333	107.76666666
2378	27.43729444	100.50815000
2383	27.72590000	100.74887222
2388	27.77141111	100.33803888
2398	47.29939166	119.86755000
2414	24.83333333	116.90000000
2432	30.99630277	119.59521111
2435	31.01387222	119.51423333
2439	28.18333333	104.51666666
2463	28.06666666	104.26666666
2483	31.01666666	119.91666666
2527	28.94502500	106.88089444
2529	29.15089444	107.13621944
2532	29.57062777	106.48433055
2534	29.85782222	106.47859722
2538	28.18730555	114.90127777
2588	30.88333333	119.40000000
2662	31.46364166	120.16787777
2688	31.60000000	116.21666666
2691	31.60000000	116.21666666
2738	27.98533600	114.03882300
2741	27.87894100	113.85961300
2743	28.43333333	117.90000000
2747	30.44710500	116.49615000
2756	29.51465000	106.49859166
2759	30.20000000	115.10000000
2761	25.02413055	113.58257500
2762	30.81952222	117.85263055
2766	25.60932777	106.15651666
2770	30.15000000	116.13333333
2775	30.63333333	118.45000000
2776	32.15203900	119.08618900
2817	30.15000000	106.66666666
2823	25.66030277	104.40924722
2839	24.49166666	108.66106944
2841	28.94201700	117.04742600
2844	24.69761666	105.24901388
2847	28.24491600	115.79745600
2853	28.16088800	114.90437600
2854	28.01666666	114.01666666
2894	29.89867777	119.53772222
2917	31.01666666	119.91666666
2923	27.65547500	111.76876666
2925	25.56666666	112.36666666
2927	26.10000000	112.86666666
2929	26.10000000	112.86666666
2933	27.01666666	119.03333333
2940	25.60000000	117.28333333
2947	31.10000000	119.71666666
2971	22.25974444	107.64993888
2983	32.38634444	107.18211111
3037	29.53333333	110.08333333
3052	26.42013888	118.02499166
3057	25.41666666	106.73333333
3095	33.18333333	120.46666666
3098	27.30000000	100.81666666
3112	27.53333333	111.33333333
3116	27.25000000	111.15000000
3132	30.51666666	117.03333333
3159	30.58257222	109.73281944
3163	27.33974722	111.98714444
3164	27.33974722	111.98714444
3184	47.70000000	128.93333333
3273	27.51666666	106.90000000
3294	32.16666666	119.03333333
3366	30.05170277	114.82482777
3402	30.75751388	109.78800277
3407	31.07612777	109.98263611
3409	32.08501388	105.07786111
3411	31.07270000	119.71144444
3422	23.26666666	107.13333333
3556	26.08333333	105.33333333
3570	25.98333333	105.08333333
3598	30.06640000	106.58963055
3780	28.03333333	110.18333333
3783	24.80000000	112.38333333
3791	27.68333333	111.68333333
3802	26.75000000	114.00000000
3832	27.55000000	109.96666666
3869	24.26666666	116.06666666
4043	29.14777500	114.59809166
4056	28.11917777	114.97001944
4059	27.27196666	114.70061388
4066	28.00286111	114.51396666
4087	28.11563611	114.68428055
4089	27.12766944	113.96146388
4091	28.31521666	117.70945000
4122	33.01666666	106.95000000
4192	24.90304444	105.17280833
4265	26.02586388	117.32494444
4333	24.72396111	116.73209166
4336	25.69270277	117.84718333
4343	23.69760277	109.24519166
4344	28.16691111	105.09678333
4354	32.30611388	105.46576111
4363	26.60708100	107.22049000
4402	30.08333333	115.11666666
4403	28.96666666	117.13333333
4409	28.30244722	105.24004722
4411	30.16666666	114.70000000
4413	30.08333333	115.11666666
4417	30.08333333	115.11666666
4437	31.66166666	101.27723888
4473	26.03617222	105.00724444
4476	31.16070833	108.39313611
4492	29.90506388	108.27340277
4501	24.46666666	108.66666666
4553	30.20448888	115.13156111
4574	29.50303900	110.76707800
4580	29.44925000	110.77155000
4610	30.13199166	106.74822500
4727	33.24695833	109.33787222
4734	31.13085300	120.31051800
4738	31.56917777	120.48433333
4769	33.24695833	109.33787222
4777	31.07539500	119.71136600
4787	31.07539500	119.71136600
4802	31.07539500	119.71136600
4813	31.53227500	117.74919000
4832	29.16793900	114.61122000
4856	29.18371400	117.35977600
4895	25.19741666	106.44485000
4931	24.87561388	112.58125277
4946	24.56939166	112.42830555
4950	24.86344444	112.46818333
4960	24.45631666	115.77272222
4961	22.25907777	107.64892222
4989	31.79438500	104.58511000
4997	31.59609722	104.32330277
5007	32.94813055	107.82075833
5009	29.71140277	103.67821388
5048	28.08333333	106.66666666
5058	28.08252222	106.67456111
5061	28.68333333	118.23333333
5063	25.25322500	117.37583611
5081	30.55000000	106.40000000
5090	31.03333333	107.13333333
5091	25.60871666	106.63831666
5096	29.85000000	106.40000000
5245	24.88333333	105.13333333
5250	25.56797500	104.85740833
5273	25.68333333	104.25000000
5274	23.73333333	109.25000000
5276	26.99113300	103.90061200
5277	26.76793500	104.23998700
5280	26.68413600	105.05180900
5281	26.33187240	105.93582050
5283	26.08581240	105.34871600
5286	26.10955500	104.40975800
5820	30.93784500	110.05059500
5822	25.62412200	106.63302600
5826	32.30392800	105.46951800
